station_source,variable,folder,start,end,span_days,span_years,covered_days,n_files,n_blocks,max_gap_days,blocks,file_list
Fichtelberg,ta,Fichtelberg,1890-08-01,2024-12-31,49096,134.42,49096,1,1,0,1890-08-01..2024-12-31,/scratch3/PALAEO-RA/daily_data/final/Fichtelberg/Fichtelberg_18900801-20241231_ta_daily.tsv
Florence,p,Florence,1785-01-01,1788-12-26,1456,3.99,1456,1,1,0,1785-01-01..1788-12-26,/scratch3/PALAEO-RA/daily_data/final/Florence/Florence_17850101-17881226_p_subdaily_qc.tsv
Florence,ta,Florence,1751-01-01,1788-12-30,13879,38.00,7300,2,2,6579,1751-01-01..1766-12-31; 1785-01-05..1788-12-30,/scratch3/PALAEO-RA/daily_data/final/Florence/Florence_17510101-17661231_ta_daily_qc.tsv|/scratch3/PALAEO-RA/daily_data/final/Florence/Florence_17850105-17881230_ta_subdaily_qc.tsv
Frankfurt,dd,Frankfurt,1749-01-01,1755-11-10,2505,6.86,2505,1,1,0,1749-01-01..1755-11-10,/scratch3/PALAEO-RA/daily_data/final/Frankfurt/Frankfurt_17490101-17551110_dd_subdaily_qc.tsv
Frankfurt,p,Frankfurt,1749-01-01,1755-12-31,2556,7.00,2556,1,1,0,1749-01-01..1755-12-31,/scratch3/PALAEO-RA/daily_data/final/Frankfurt/Frankfurt_17490101-17551231_p_subdaily_qc.tsv
Frankfurt,ta,Frankfurt,1749-01-01,1755-12-31,2556,7.00,2556,1,1,0,1749-01-01..1755-12-31,/scratch3/PALAEO-RA/daily_data/final/Frankfurt/Frankfurt_17490101-17551231_ta_subdaily_qc.tsv
GCOS_Basel_Burckhardt,p,Basel,1825-09-15,1827-12-31,838,2.29,838,1,1,0,1825-09-15..1827-12-31,/scratch3/PALAEO-RA/daily_data/final/Basel/GCOS_Basel_Burckhardt_18250915-18271231_p_subdaily_qc.tsv
GCOS_Basel_Burckhardt,ta,Basel,1825-09-15,1827-12-31,838,2.29,838,1,1,0,1825-09-15..1827-12-31,/scratch3/PALAEO-RA/daily_data/final/Basel/GCOS_Basel_Burckhardt_18250915-18271231_ta_subdaily_qc.tsv
GCOS_Basel_Fuerstenberger,Tn,Basel,1826-04-01,1828-11-02,947,2.59,707,3,3,129,1826-04-01..1827-08-29; 1828-01-06..1828-07-12; 1828-11-01..1828-11-02,/scratch3/PALAEO-RA/daily_data/final/Basel/GCOS_Basel_Fuerstenberger_18260401-18270829_Tn_daily_qc.tsv|/scratch3/PALAEO-RA/daily_data/final/Basel/GCOS_Basel_Fuerstenberger_18280106-18280712_Tn_daily_qc.tsv|/scratch3/PALAEO-RA/daily_data/final/Basel/GCOS_Basel_Fuerstenberger_18281101-18281102_Tn_daily_qc.tsv
GCOS_Basel_Fuerstenberger,Tx,Basel,1826-04-01,1828-11-02,947,2.59,718,3,3,118,1826-04-01..1827-09-09; 1828-01-06..1828-07-12; 1828-11-01..1828-11-02,/scratch3/PALAEO-RA/daily_data/final/Basel/GCOS_Basel_Fuerstenberger_18260401-18270909_Tx_daily_qc.tsv|/scratch3/PALAEO-RA/daily_data/final/Basel/GCOS_Basel_Fuerstenberger_18280106-18280712_Tx_daily_qc.tsv|/scratch3/PALAEO-RA/daily_data/final/Basel/GCOS_Basel_Fuerstenberger_18281101-18281102_Tx_daily_qc.tsv
